priority_rank	quality_score	priority_reason	missing_fields	name	type	country	location	bio	current_linkedin	current_email	current_twitter	current_website	current_portfolio	linkedin_query	source_query	email_query	linkedin_to_fill	email_to_fill	website_to_fill	twitter_to_fill	source_url	review_status	notes	id
1	65	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, verified, contact_source	Crystal Rose	angel	Canada	Toronto	Co-founder of Sensay. Angel investor in AI and creator economy.			https://twitter.com/crystalrose			"site:linkedin.com/in ""Crystal Rose"" investor"	"""Crystal Rose"" investor official"	"""Crystal Rose"" email investor"								b02ad964-4fef-4a6e-bdd0-244c870bb486
2	65	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, verified, contact_source	Maximilian Fleitmann	angel	Germany	Berlin	Co-founder of BaseTemplates. Angel in German SaaS and productivity tools.			https://twitter.com/maxfleit			"site:linkedin.com/in ""Maximilian Fleitmann"" investor"	"""Maximilian Fleitmann"" investor official"	"""Maximilian Fleitmann"" email investor"								3cdcc71d-c3c0-4f48-bc8d-fe22fe41ff74
3	65	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, verified, contact_source	Angie Chang	angel	USA	San Francisco, CA	Co-founder of Women 2.0 and Hackbright Academy. Angel in female founder startups.			https://twitter.com/thisgirlangie			"site:linkedin.com/in ""Angie Chang"" investor"	"""Angie Chang"" investor official"	"""Angie Chang"" email investor"								f2abd01d-dbd3-4f05-a680-fb60aa967eb5
4	70	large_check_size: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Mercedes Bent	vc	USA	Menlo Park, CA	Partner at Lightspeed. Expert in future of work and education tech.			https://twitter.com/mercyabent			"site:linkedin.com/in ""Mercedes Bent"" ""Lightspeed"""	"""Mercedes Bent"" ""Lightspeed"" investor"	"""Mercedes Bent"" email investor"								0095bfff-b055-4bcb-ac23-940b26f2721f
5	70	large_check_size: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Rebecca Kaden	vc	USA	New York, NY	Managing Partner at USV. Consumer and marketplace expert. Former Maverick Capital.			https://twitter.com/rebeccakaden			"site:linkedin.com/in ""Rebecca Kaden"" ""USV"""	"""Rebecca Kaden"" ""USV"" investor"	"""Rebecca Kaden"" email investor"								59a798c4-bf23-4fdd-84d0-95ee63905678
6	70	large_check_size: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Lars Fjeldsoe-Nielsen	vc	UK	London	General Partner at Balderton Capital. Former VP Mobile at Dropbox and WhatsApp.			https://twitter.com/larsfn			"site:linkedin.com/in ""Lars Fjeldsoe-Nielsen"" ""Balderton Capital"""	"""Lars Fjeldsoe-Nielsen"" ""Balderton Capital"" investor"	"""Lars Fjeldsoe-Nielsen"" email investor"								c4b56dcb-9d8c-43f6-b487-bde5b1c7f32b
7	70	large_check_size: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Jigar Shah	vc	USA	Washington, DC	Co-founder of Generate Capital. Former DOE Loans chief. Clean energy finance expert.			https://twitter.com/JigarShahDC			"site:linkedin.com/company ""Jigar Shah"""	"""Jigar Shah"" investor official"	"""Jigar Shah"" email investor"								4a9a158d-202d-4914-97dd-5f5ba04c32e8
8	70	large_check_size: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Shahin Farshchi	vc	USA	Menlo Park, CA	Partner at Lux Capital. PhD from UCLA. Expert in robotics, autonomy, and hard tech.			https://twitter.com/farshchi			"site:linkedin.com/in ""Shahin Farshchi"" ""Lux Capital"""	"""Shahin Farshchi"" ""Lux Capital"" investor"	"""Shahin Farshchi"" email investor"								c9e1cca9-f1dd-4695-be95-c3225c4b0297
9	70	large_check_size: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Adeyemi Ajao	vc	USA	San Francisco, CA	Co-founder of Base10 Partners. Expert in automation and future of work. African-American led fund.			https://twitter.com/ayemib			"site:linkedin.com/company ""Adeyemi Ajao"""	"""Adeyemi Ajao"" investor official"	"""Adeyemi Ajao"" email investor"								333ea1b6-0dc8-4760-8de3-71616300bcdc
10	70	large_check_size: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	John Curtius	vc	USA	New York, NY	Former Partner at Tiger Global. Led many of Tiger's best SaaS investments. Now solo GP.			https://twitter.com/johncurtius			"site:linkedin.com/in ""John Curtius"" ""Tiger Global"""	"""John Curtius"" ""Tiger Global"" investor"	"""John Curtius"" email investor"								76f1d8fe-6dc8-4580-86e0-862588f1c59b
11	70	large_check_size: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Tyler Sosin	vc	USA	Menlo Park, CA	Partner at Menlo Ventures. Expert in AI and next-generation enterprise software.			https://twitter.com/tylersosin			"site:linkedin.com/in ""Tyler Sosin"" ""Menlo Ventures"""	"""Tyler Sosin"" ""Menlo Ventures"" investor"	"""Tyler Sosin"" email investor"								0290f6f4-7f4d-424d-b0e2-266e7f5199a1
12	70	large_check_size: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Nina Kjellson	vc	USA	Westport, CT	General Partner at Canaan. Expert in digital health and consumer health tech.			https://twitter.com/ninakjellson			"site:linkedin.com/in ""Nina Kjellson"" ""Canaan"""	"""Nina Kjellson"" ""Canaan"" investor"	"""Nina Kjellson"" email investor"								d066a22f-3fd8-4e7e-a14a-77db9bb3ec77
13	70	large_check_size: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Kai-Fu Lee	vc	China	Beijing	Founder of Sinovation Ventures. Former Google China president. AI thought leader and investor.			https://twitter.com/kaifulee			"site:linkedin.com/company ""Kai-Fu Lee"""	"""Kai-Fu Lee"" investor official"	"""Kai-Fu Lee"" email investor"								57514f00-f53a-42c7-8953-299cfe12c40d
14	70	large_check_size: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Avichal Garg	vc	USA	San Francisco, CA	Co-founder of Electric Capital. Expert in crypto developer ecosystems.			https://twitter.com/avichal			"site:linkedin.com/company ""Avichal Garg"""	"""Avichal Garg"" investor official"	"""Avichal Garg"" email investor"								da61a297-35f4-4b92-9391-8c0aab5524fa
15	70	large_check_size: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Niki Pezeshki	vc	USA	Menlo Park, CA	Partner at Felicis Ventures. Expert in developer-first and infrastructure companies.			https://twitter.com/nikipezeshki			"site:linkedin.com/in ""Niki Pezeshki"" ""Felicis Ventures"""	"""Niki Pezeshki"" ""Felicis Ventures"" investor"	"""Niki Pezeshki"" email investor"								98e65a55-ea35-49cb-8d7c-52c8a9537c19
16	70	large_check_size: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Lynne Chou O'Keefe	vc	USA	Menlo Park, CA	Founder of Define Ventures. Expert in healthcare services and digital health.			https://twitter.com/lynne_ok			"site:linkedin.com/company ""Lynne Chou O'Keefe"""	"""Lynne Chou O'Keefe"" investor official"	"""Lynne Chou O'Keefe"" email investor"								1868e93e-2fac-4e46-9dff-74cf6a9e22dc
